Ar,Medeltemperatur [*C]
1967.0,5.069863013698632
1968.0,6.367671232876713
1969.0,5.831232876712331
1970.0,5.718904109589037
1971.0,4.7813698630136985
1972.0,6.161369863013697
1973.0,6.884383561643839
1974.0,6.646027397260277
1975.0,6.907123287671231
1976.0,7.710684931506839
1977.0,5.498356164383566
1978.0,5.697808219178082
1979.0,5.223561643835613
1980.0,5.244657534246574
1981.0,5.307123287671231
1982.0,5.297534246575344
1983.0,6.302465753424655
1984.0,6.8035616438356135
1985.0,6.63150684931507
1986.0,4.067397260273974
1987.0,5.467671232876713
1988.0,4.240547945205481
1989.0,6.265753424657534
1990.0,7.711780821917809
1991.0,7.630958904109582
1992.0,6.6446575342465755
1993.0,7.23205479452055
1994.0,6.310958904109593
1995.0,6.636438356164382
1996.0,6.415616438356166
1997.0,5.7178082191780835
